2016-12-27 23:18:17,654 : INFO : Machine : Mission Pinball Framework Core Engine v0.32.6
2016-12-27 23:18:17,654 : INFO : Machine : Machine path: C:\pinball\redskullstest
2016-12-27 23:18:18,295 : INFO : Machine : Loading config from original files
2016-12-27 23:18:18,448 : INFO : Machine : Machine config file #1: C:\pinball\redskullstest\config\config
2016-12-27 23:18:18,744 : INFO : Machine : Config file cache created: C:\Users\Customer\AppData\Local\Temp\f6eef2de233280d1dd6b1c0885b8cc32config
2016-12-27 23:18:19,401 : INFO : BCPClientSocket.local_display : Connecting BCP to 'local_display' at localhost:5050...
2016-12-27 23:19:00,311 : INFO : BCPClientSocket.local_display : Connected BCP to 'local_display' localhost:5050
2016-12-27 23:19:00,568 : INFO : Mode.tilt : Mode Starting. Priority: 1000000
2016-12-27 23:19:00,570 : INFO : SwitchController : Active Switch|s_l_trough
2016-12-27 23:19:00,570 : INFO : SwitchController : Active Switch|s_r_trough
2016-12-27 23:19:00,571 : INFO : Mode.service : Mode Starting. Priority: 100000
2016-12-27 23:19:00,577 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-12-27 23:19:18,555 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:18,646 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:18,646 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:18,705 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:18,705 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:18,821 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:18,821 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:18,822 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:18,846 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:18,939 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:18,940 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:18,999 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:18,999 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:19,116 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:19,139 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:19,255 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:19,256 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:19,315 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:19,315 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:19,410 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:19,411 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:19,470 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:19,470 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:19,587 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:19,587 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:19,646 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:19,646 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:19,763 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:19,764 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:19,822 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:19,823 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:19,939 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:19,940 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:19,963 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:19,997 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:20,113 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:20,114 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:20,175 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:20,176 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:20,288 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:20,289 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:20,348 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:20,348 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:20,464 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:20,465 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:20,524 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:20,525 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:20,640 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:20,641 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:20,720 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:20,720 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:20,815 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:20,816 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:20,896 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:20,897 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:21,014 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:21,015 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:21,111 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:21,111 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:21,228 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:21,228 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:21,288 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:21,288 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:21,405 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:21,406 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:21,487 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
